item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfilment-channel	merchant-shipping-group	status
Yinjiyue Natural Mugwort Incense Sticks, Charcoal-Free, Air Purifying, Meditation & Yoga, Relaxation, Sleep Aid, Stress Relief, Indoor Home Incense new Package	Discover the serene power of Mugwort Incense Sticks, your perfect companion for spiritual cleansing and deep relaxation. Beyond its calming fragrance, this herbal wonder acts as a potent air purifier and natural botanical freshener, creating a harmonious and peaceful environment. Elevate your meditation, yoga, or daily mindfulness practices with the soothing properties of these sticks. Their therapeutic scent gently eases tension and promotes peaceful sleep, transforming any space into a sanctuary of tranquility. With a generous 300-count pack, these long-burning sticks ensure lasting enjoyment and continuous atmospheric enhancement. Embrace this ancient tradition for a truly rejuvenating experience that nurtures both body and soul.	0709HW1I7IH	C07S-HKF4	24.08		2026-07-08 23:18:21 PDT		y	4			11				B0H86P4L8B						8711727421550				AMAZON_NA	Migrated Template	Active
Pine Cone Incense Sticks - 450 Sticks, Natural & Charcoal-Free, Earthy Wood Aroma for Meditation, Relaxation, Yoga, Air Purifying & Home Fragrance	Enjoy a calming, forest-inspired aroma crafted from natural pine cone essence and wood powder. These Pine Cone Incense Sticks offer a grounding and comforting fragrance that connects you to the outdoors. Made without charcoal or synthetic additives, these incense sticks burn with minimal smoke, ideal for meditation spaces, yoga sessions, or quiet home relaxation. Over 92% of ingredients are plant-based, including pine, resin, and herbal binder. This pack contains 450 incense sticks in beautifully designed packaging, perfect for long-term use or as a thoughtful gift. The warm, earthy aroma helps clear the air, reduce stress, and restore inner calm.	0618HIMYG1C	PineCone-1.19-DG	24.99		2026-06-18 08:16:20 PDT		y	3			11				B0FG7F3V69						702408207325				AMAZON_NA	Migrated Template	Active
Seedlink Brass Lotus Incense Holder for Sticks, Vintage Incense Burner with Detachable Ash Catcher for Meditation, Yoga & Home Decor		0708HS0ZL6P	lotus	8.89		2026-07-08 01:29:33 PDT		y	1			11				B0FY67W88Z						B0FY67W88Z				AMAZON_NA	Migrated Template	Active
AFENGAU Natural Mugwort Incense Sticks - Charcoal-Free & Non-Toxic for Calming Meditation, Yoga, Relaxation. Natural Sleep Aid, Stress Relief & Air Purifying Herbal Incense for Home.	At AFENGAU, we believe in the power of nature to restore balance and tranquility. Our Natural Mugwort Incense Sticks are charcoal-free and 100% non-toxic, made from pure, aged mugwort. These sticks produce a clean, light smoke, making them safe for you, your family, and your pets. The calming scent of natural mugwort helps melt away stress and anxiety, promoting a tranquil atmosphere conducive to deep relaxation and restful sleep. Elevate your meditation, yoga, or mindfulness sessions with the subtle, earthy fragrance of mugwort. This pack contains 40 sticks, each burning for approximately 30-45 minutes. Packaged in an elegant wooden box.	0618HIMYINO	mugwort40	13.99		2026-06-18 08:16:14 PDT		y	4			11				B0FY6MK2D4						8711727421444				AMAZON_NA	Migrated Template	Active
Natural Mugwort Incense Sticks, Charcoal-Free, Air Purifying, Stress Relief, Meditation, Yoga & Sleep Aid	AFENGAU Natural Mugwort Incense Sticks are made from pure, natural mugwort, charcoal-free, offering a clean and authentic aromatic experience. The soothing scent of mugwort helps ease tension and promote deep relaxation, making these sticks ideal for unwinding after a long day. Enhance your mindfulness practice with the calming fragrance of mugwort, creating a serene atmosphere perfect for meditation and yoga sessions. These incense sticks help create a peaceful environment conducive to restful sleep while naturally freshening and purifying the air in your home. Comes neatly stored in a clear tube with a cork stopper, keeping the incense sticks protected and fresh. Each stick measures 9.05 inches in length.	0618HIUUNWD	mugworthy	27.99		2026-06-18 08:16:13 PDT		y	4			11				B0GWVLF81Y						8711727421543				AMAZON_NA	Migrated Template	Active
AFENGAU Natural Sandalwood Incense Sticks - 400 Premium Hand-Dipped Sticks for Meditation, Yoga, and Aromatherapy - Authentic Calming Scent for Stress Relief	Experience the pure, calming, and grounding scent of natural sandalwood with AFENGAU. Our incense sticks are crafted from premium sandalwood powder, providing an authentic and traditional fragrance that gently fills your space without being overwhelming. Each package contains 400 high-quality, hand-dipped incense sticks that burn evenly and release a consistent, beautiful aroma for approximately 45-60 minutes. Enhance your meditation, yoga, or mindfulness practice with the serene ambiance created by our sandalwood incense. We use only natural, sustainably sourced sandalwood and other plant-based materials, free from harsh chemicals and artificial fragrances.	0618HIY016V	sandalwood300	27.99		2026-06-18 08:16:14 PDT		y	4			11				B0FY6JR3NK						8711727421420				AMAZON_NA	Migrated Template	Active
AFENGAU Natural Sandalwood Incense Sticks - 40 Premium Hand-Dipped Sticks for Meditation, Yoga, and Aromatherapy - Authentic Calming Scent for Stress Relief (40)	Explore the wide range of natural sandalwood incense sticks from AFENGAU, now available on Amazon. Made from sustainably sourced sandalwood and crafted using traditional hand-dipping techniques, our incense delivers an authentic, calming fragrance that has been cherished for centuries. Each of the 40 premium sticks burns for 45-60 minutes, filling your space with a warm, woody aroma that promotes relaxation, focus, and inner peace. Perfect for meditation, yoga, aromatherapy, or simply creating a serene home environment. Our eco-friendly packaging makes this an ideal gift for anyone seeking natural wellness and tranquility. Experience the AFENGAU difference—where nature meets tradition.	0612HSQ5UBP	sandalwood40	13.94		2026-06-12 00:24:06 PDT		y	1			11				B0FY6HB74X						B0FY6HB74X				AMAZON_NA	Migrated Template	Active
Yinjiyue Mugwort Incense Sticks Variety Pack 400 | Cedar, Lavender, Gardenia & Mugwort Incense | Natural Charcoal-Free Incense for Meditation, Yoga & Spiritual Cleansing | Wooden Box	Transform your everyday moments into meaningful rituals with the Yinjiyue 400-Stick Incense Variety Pack. Whether you're settling into a morning yoga session, unwinding after a long day, or simply refreshing the atmosphere in your home, this thoughtfully curated set offers four distinct botanical scents to match every mood and occasion. Four Scents, One Complete Experience Each box contains 100 sticks of four unique fragrances — Cedar, Lavender, Gardenia, and Mugwort — giving you the flexibility to choose the perfect scent for any moment. Cedar brings a warm, woody depth that grounds your space and creates a sense of calm focus — ideal for morning routines, home office sessions, or quiet evenings in. Lavender, one of the most beloved botanicals in the world, delivers a soft, floral aroma that sets a peaceful, serene atmosphere — a natural companion for winding down before bedtime or enjoying a slow weekend afternoon. Gardenia offers a rare, delicately sweet floral fragrance that feels both uplifting and elegant. While most variety packs stick to familiar blends, Yinjiyue brings you this refined botanical that is difficult to find in everyday incense collections. Mugwort, a plant with centuries of cultural significance in East Asian traditions, carries a distinctive earthy, herbal warmth. Its grounding aroma makes it a popular choice for meditation and mindfulness practices, adding a layer of depth and intention to your quiet moments. Crafted Clean — Pure Botanicals, No Compromises Yinjiyue incense sticks are made from 100% natural botanical ingredients, free from synthetic chemicals, charcoal, and artificial additives. Each stick burns with minimal smoke and a clean, even flame, releasing only the authentic fragrance of the plant materials. With an approximate burn time of 45 to 60 minutes per stick, a single box provides hundreds of hours of fragrance. A Gift Worth Giving Presented in a beautifully crafted wooden gift box, this incense set makes an ideal gift for birthdays, housewarmings, holidays, Mother's Day, or as a considered treat for someone who values their personal well-being. The compact wooden box keeps all 400 sticks neatly organized and doubles as a stylish accent piece on any shelf or tabletop. Everything You Need, Right Out of the Box Every Yinjiyue variety pack includes a complimentary wooden incense holder, so you can begin your ritual the moment your order arrives. No additional accessories needed.	0707HLL8NYK	C0-7SML-QGMM	31.23		2026-07-06 19:51:16 PDT		y	4			11				B0H7R483PY						8711727421291				AMAZON_NA	Migrated Template	Inactive
Huile essentielle de santal Yinjiyue 10 ml – huile d'aromathérapie pure et naturelle pour diffuseur, humidificateur et massage	Huile essentielle de santal Yinjiyue 10 ml – Un arôme authentique, riche et boisé, prisé depuis des siècles. Parfaite pour diffuseur ou humidificateur, son parfum chaleureux et enveloppant crée une atmosphère paisible et invitante dans votre intérieur. Idéale pour se détendre après une longue journée. Peut également être utilisée pour le massage. Diluez quelques gouttes dans une huile végétale avant application. Sans additifs synthétiques, sans agents de remplissage ni parfums artificiels. Flacon en verre ambré pour préserver la fraîcheur et la pureté de l'huile. Yinjiyue – l'élégance naturelle à portée de main.	0629HOFK3LA	S1-WEYZ-1LN0	28.37		2026-06-29 01:47:47 PDT		y	1			11				B0H3J6LR1K						B0H3J6LR1K				AMAZON_NA	Migrated Template	Inactive
Wheel Cover		0623BWG94CL	US-WCC	35.99		2024-06-23 09:16:46 PDT		y	1			11				B0D3XLBGN8						B0D3XLBGN8				AMAZON_NA	Migrated Template	Inactive
