item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
Natural Incense – Stick & Coil – Goose Pear, Sandalwood, Nha Trang Agarwood – Aromatherapy for Home, Meditation, Relaxation (400 Sticks)	Experience the timeless elegance of traditional incense, crafted through generations of refined artistry. This premium incense set includes 400 joss sticks, each meticulously made using the ancient method—sourced from full, rich branches, ground by hand, aged in kilns, and shaped with natural binders to honor the purity of the craft. The fragrance, known as Pear Complex, evokes serenity and refinement with natural fragrant wood enhanced by gentle notes of vanilla and honey. The scent is light, warm, and soothing—never harsh, never artificial. With a burn time of 45 minutes per stick, this incense is perfect for extended meditation, yoga sessions, quiet evenings, or simply refreshing your living space. More than just fragrance, this incense brings a sensory experience rooted in tradition. It cleanses the air, calms the mind, and invites harmony into your daily rituals. With no harsh chemicals or artificial scents, it is safe for all ages and environments. Let each stick take you on a tranquil journey—refined, grounded, and beautifully aromatic.	0619FQOVL3W	1688-GPIncense-1.32-DG	19.98		2025-06-18 23:49:22 PDT		y	3			11				B0FDQ3L67K						702408207356				AMAZON_NA	Migrated Template	Active
Ambergris Incense Sticks – 400 Sticks, Natural & Charcoal-Free, Long-Lasting Scent for Meditation, Relaxation, Stress Relief, Yoga & Home Aromatherapy	Immerse yourself in the rich, oceanic scent of Ambergris Incense Sticks—a luxurious aroma once prized in royal perfumery. Known for its warm, musky base and subtly sweet, marine top notes, ambergris creates a deeply calming and meditative atmosphere. Crafted from natural plant-based materials and free of charcoal or synthetic fillers, these incense sticks burn cleanly and evenly, delivering a smooth, long-lasting fragrance. Ideal for use during meditation, yoga, or evening relaxation, the scent gently fills the space without being overpowering. Ambergris is known for its natural fixative properties, allowing the scent to linger softly and elevate your environment with a sense of peace, clarity, and balance. Whether you're looking to unwind after a long day or enhance your spiritual practice, this incense offers a refined aromatic experience. Each box includes 400 premium incense sticks, beautifully packaged in a gift-ready design—perfect for personal use or thoughtful gifting during holidays, housewarmings, or special occasions.	0701FTJIH3N	Ambergris-1.19-DG	16.99		2025-06-30 23:02:29 PDT		y	3			11				B0FG7CCVCB						702408207332				AMAZON_NA	Migrated Template	Active
Yinjiyue Mugwort Incense Sticks Variety Pack 400 | Cedar, Lavender, Gardenia & Mugwort Incense | Natural Charcoal-Free Incense for Meditation, Yoga & Spiritual Cleansing | Wooden Box	Transform your everyday moments into meaningful rituals with the Yinjiyue 400-Stick Incense Variety Pack. Whether you're settling into a morning yoga session, unwinding after a long day, or simply refreshing the atmosphere in your home, this thoughtfully curated set offers four distinct botanical scents to match every mood and occasion. Four Scents, One Complete Experience Each box contains 100 sticks of four unique fragrances — Cedar, Lavender, Gardenia, and Mugwort — giving you the flexibility to choose the perfect scent for any moment. Cedar brings a warm, woody depth that grounds your space and creates a sense of calm focus — ideal for morning routines, home office sessions, or quiet evenings in. Lavender, one of the most beloved botanicals in the world, delivers a soft, floral aroma that sets a peaceful, serene atmosphere — a natural companion for winding down before bedtime or enjoying a slow weekend afternoon. Gardenia offers a rare, delicately sweet floral fragrance that feels both uplifting and elegant. While most variety packs stick to familiar blends, Yinjiyue brings you this refined botanical that is difficult to find in everyday incense collections. Mugwort, a plant with centuries of cultural significance in East Asian traditions, carries a distinctive earthy, herbal warmth. Its grounding aroma makes it a popular choice for meditation and mindfulness practices, adding a layer of depth and intention to your quiet moments. Crafted Clean — Pure Botanicals, No Compromises Yinjiyue incense sticks are made from 100% natural botanical ingredients, free from synthetic chemicals, charcoal, and artificial additives. Each stick burns with minimal smoke and a clean, even flame, releasing only the authentic fragrance of the plant materials. With an approximate burn time of 45 to 60 minutes per stick, a single box provides hundreds of hours of fragrance. A Gift Worth Giving Presented in a beautifully crafted wooden gift box, this incense set makes an ideal gift for birthdays, housewarmings, holidays, Mother's Day, or as a considered treat for someone who values their personal well-being. The compact wooden box keeps all 400 sticks neatly organized and doubles as a stylish accent piece on any shelf or tabletop. Everything You Need, Right Out of the Box Every Yinjiyue variety pack includes a complimentary wooden incense holder, so you can begin your ritual the moment your order arrives. No additional accessories needed.	0706HH5K4FJ	C0-7SML-QGMM	19.99		2026-07-05 19:58:42 PDT		y	4			11				B0H7R483PY						8711727421291				AMAZON_NA	Migrated Template	Active
YINJIYUE Japanese Hinoki Cypress Incense Sticks, 40-50 Min Long Burning Time, 100% Natural Wood Scent for Meditation, Yoga, Relaxation & Home Fragrance, 1 Tube (~50 Sticks)	🌿 DOUBLE THE BURN TIME, DEEPER RELAXATION：Unlike standard incense that burns out quickly, each 21cm (8.3-inch) YINJIYUE incense stick offers an extended 40-50 minutes of continuous burn time — 2x longer than most competitors. Fully immerse yourself in meditation, yoga, or deep relaxation without interruption. 🌲 100% PURE JAPANESE HINOKI CYPRESS：Experience the authentic, crisp, earthy aroma of natural Japanese Hinoki wood. Zero charcoal, no synthetic fragrances, no toxic additives. The clean, low-smoke burn purifies your space, leaving a soothing forest scent that calms the mind and uplifts the spirit. 🎁 COMPLETE AROMATHERAPY SET — READY TO USE OR GIFT：This premium set includes 1 airtight transparent tube (~50 sticks, 25g). Beautifully packaged in an eco-friendly box — the perfect ready-to-gift set for housewarmings, birthdays, or anyone seeking a zen lifestyle. 💧 INNOVATIVE AIRTIGHT TUBE PACKAGING：Our unique transparent cylindrical tube features a secure airtight cap that locks in the fresh Hinoki aroma and protects sticks from moisture — ensuring every burn is as fragrant as the first. No more stale, scentless incense from paper boxes. 🧘 TRANSFORM ANY SPACE INTO A ZEN SANCTUARY：Whether reading in your study, unwinding in the living room, or practicing mindfulness, YINJIYUE Hinoki incense effortlessly elevates your environment. The subtle yet profound woody fragrance eliminates odors and creates a tranquil, spa-like atmosphere right at home.	0707HMSSEPG	HINOKI	15.99		2026-07-07 01:39:15 PDT		y	3			11				B0H7WPJDP1						758716422622				AMAZON_NA	Migrated Template	Active
AFENGAU Ancient Formula Imperial Palace Incense Sticks - Handmade Song Dynasty Royal Court Incense for Meditation, Ceremony & Stress Relief - Luxury Chinese Emperor's Gift Set	Our AFENGAU mugwort incense is more than just a pleasant scent; it's a tool for wellness. Naturally aid sleep, enhance your meditation and yoga practices, purify your home's air, and enjoy a completely non-toxic, charcoal-free experience.	1029F0Z90KR	ImperialPalace	19.99		2025-10-28 20:53:55 PDT		y	4			11				B0FY5K8HMT						8711727421376				AMAZON_NA	Migrated Template	Active
Natural Mugwort Incense Sticks, Charcoal-Free, Air Purifying, Meditation & Yoga, Relaxation, Sleep Aid, Stress Relief, Indoor Home Incense new Package	Discover the serene power of Mugwort Incense Sticks, your perfect companion for spiritual cleansing and deep relaxation. Beyond its calming fragrance, this herbal wonder acts as a potent air purifier and natural botanical freshener, creating a harmonious and peaceful environment. Elevate your meditation, yoga, or daily mindfulness practices with the soothing properties of these sticks. Their therapeutic scent gently eases tension and promotes peaceful sleep, transforming any space into a sanctuary of tranquility. With a generous 300-count pack, these long-burning sticks ensure lasting enjoyment and continuous atmospheric enhancement. Embrace this ancient tradition for a truly rejuvenating experience that nurtures both body and soul.	0101H3V9KKL	JD-C07S-HKF4	16.99		2025-12-31 20:53:46 PST		y	4			11				B0GDKDTB6C						8711727421505				AMAZON_NA	Migrated Template	Active
Pine Cone Incense Sticks – 450 Sticks, Natural & Charcoal-Free, Earthy Wood Aroma for Meditation, Relaxation, Yoga, Air Purifying & Home Fragrance	<p><b>Bring the serene scent of the forest into your home with our Pine Cone Incense Sticks.</b> Blending natural pine cone fragrance with wood powders and botanical binders, this incense offers a warm, earthy aroma that evokes the peaceful stillness of nature.</p> <p>Free of charcoal and synthetic additives, each stick burns cleanly with a soft trail of smoke—perfect for meditation, yoga, relaxation, or simply refreshing your space. The scent is grounding, subtly resinous, and helps reduce stress while balancing your mood.</p> <p><b>This box contains 450 incense sticks in elegant packaging,</b> making it ideal for long-term personal use or as a meaningful gift for loved ones. Whether you're enhancing your daily rituals or setting the mood for special moments, these incense sticks deliver purity, balance, and deep relaxation.</p>	0701FTFRM9I	PineCone-1.19-DG	19.98		2025-06-30 23:29:23 PDT		y	3			11				B0FG7F3V69						702408207325				AMAZON_NA	Migrated Template	Active
Yinjiyue Sandalwood Essential Oil 10ml, Pure Natural Aromatherapy Oil for Diffuser Humidifier and Massage		0629HOERCTL	S1-WEYZ-1LN0	9.99		2026-06-29 01:47:47 PDT		y	1			11				B0H3J6LR1K						B0H3J6LR1K				AMAZON_NA	Migrated Template	Active
yinjiyue Weighted Eye Mask for Sleeping, Reversible Cool-Touch & Plush Sleep Mask, Quiet Adjustable Closure, Contoured Nose Fit for Bedtime, Naps & Travel, Navy	Sleeping masks are a simple yet effective solution for achieving deeper, more restful sleep. Designed to block out unwanted light, these masks create a dark environment that signals your brain to relax and drift off more easily. Whether you are a light sleeper, a frequent traveler, or someone who works night shifts, a quality sleeping mask can make a significant difference in your sleep quality. Most sleeping masks are crafted from soft, lightweight materials that sit gently against your face without causing discomfort. Many feature adjustable straps to ensure a secure yet comfortable fit for all head sizes. Some designs include contoured cups that prevent pressure on your eyes, allowing you to blink freely while wearing them. Sleeping masks are compact and portable, making them a great travel companion for long flights or hotel stays. They are easy to clean and maintain, and many are suitable for both men and women. If you struggle with falling asleep in bright environments, a sleeping mask is a practical and affordable addition to your nightly routine.	0907HC6RFWN	Sleeping Mask	9.99		2026-09-06 18:51:42 PDT		y	4			11				B0HJ1GPC2S						8711727421574				AMAZON_NA	Migrated Template	Active
YINJIYUE Celadon Leaf Incense Holder - Zero-Mess Ash Catcher, Precision 3-Hole, Premium Porcelain Incense Stick Holder for Meditation, Yoga & Home Decor	Celadon Leaf Ceramic Incense Stick Holder with Ash Catcher Tray<br><br>Bring quiet oriental zen atmosphere to your living space with our hand-glazed celadon willow leaf incense burner. Crafted with traditional celadon craft, the soft sage green glaze delivers gentle natural texture, blending seamlessly with modern minimalist, rustic, Japanese wabi-sabi, bohemian home styles.<br><br>This all-in-one incense holder combines stick support and full-length ash collection tray in one piece. The elongated leaf basin fully contains falling ash, eliminating messy cleanup and ash spillage on wooden furniture, fabric surfaces or altar tables. The spiral curled head features multiple sized insertion holes, compatible with most standard thin incense sticks from major brands.<br><br>Solid high-fired ceramic material offers excellent heat resistance, it will not deform or crack under long-term incense burning. The sealed glossy glaze repels smoke residue, only a quick wipe with tissue is needed to clean ash after use.<br><br>Wide application scenarios: Place it in your bedroom for calming bedtime aromatherapy, set it on tea table for slow tea time, use during yoga & mindfulness meditation, decorate bathroom, reading nook or spiritual altar. It is also a thoughtful unique gift for incense collectors, yogis, new homeowners on birthdays, holidays.<br><br><br>Product Specifications<br><br> Material: High-temperature celadon ceramic<br><br> Color: Vintage celadon sage green<br><br> Shape: Natural willow leaf with spiral stick holder<br><br> Function: Incense stick support + full ash catcher tray<br><br> Compatible: All standard thin incense sticks<br><br><br>Warm Tips<br><br>1. Always place on heat-resistant flat surface while burning incense<br><br>2. Keep away from flammable fabrics, curtains and pets<br><br>3. Allow ceramic to fully cool before cleaning leftover ash<br><br>	0629HNMIE48	YJY-IH-CELADON-LEAF-US	9.99		2026-06-28 21:05:05 PDT		y	3			11				B0H6WKJKSG						738128732533				AMAZON_NA	Migrated Template	Active
